EXT_ORG_ID,Partner University,Region,ANY_SEM,SEM_1,SEM_2,
E0000000618,The University of Western Australia,Australia,2,0,0,
E0000000620,The University of Sydney,Australia,4,0,0,
E0000000623,The University of Queensland,Australia,1,0,0,
E0000000626,The University of New South Wales,Australia,1,0,0,
E0000000628,Monash University,Australia,1,0,0,
E0000000629,The University of Melbourne,Australia,1,0,0,
E0000000636,The University of Adelaide,Australia,1,0,0,
E0000000637,The Australian National University,Australia,2,0,0,
E0000000697,Dalhousie University,Canada,1,0,0,
E0000000680,University of Waterloo,Canada,5,0,0,
E0000000681,Western University,Canada,2,0,0,
E0000000684,University of Toronto,Canada,2,0,0,
E0000000685,Simon Fraser University,Canada,2,0,0,
E0000000689,University of Ottawa,Canada,1,0,0,
E0000000694,McGill University,Canada,4,0,0,
E0000000699,University of Calgary,Canada,2,0,0,
E0000000700,Concordia University,Canada,3,0,0,
E0000000701,The University of British Columbia,Canada,0,3,3,
E0000003863,University of Toronto (Scarborough),Canada,1,0,0,
E0000001017,Zhejiang University,China,1,0,0,
E0000001028,Tsinghua University,China,3,0,0,
E0000001042,Shanghai Jiao Tong University,China,2,0,0,
E0000001048,Fudan University,China,2,0,0,
E0000001062,Aarhus University,Denmark,2,0,0,
E0000001064,Technical University of Denmark,Denmark,3,0,0,
E0000001085,CentraleSupelec - Ecole Centrale Paris,France,1,0,0,
E0000001094,Institut National des Sciences Appliquees de Lyon,France,1,0,0,
E0000001122,University of Mannheim,Germany,2,0,0,
E0000001127,Technical University of Munich,Germany,0,0,8,
E0000001132,Karlsruhe Institute of Technology,Germany,0,0,3,
E0000001138,Technical University of Darmstadt,Germany,0,0,3,
E0000000006,City University of Hong Kong,"Hong Kong SAR, China",0,1,1,
E0000000008,The University of Hong Kong,"Hong Kong SAR, China",0,2,2,
E0000000009,The Chinese University of Hong Kong,"Hong Kong SAR, China",0,1,1,
E0000000005,Hong Kong Uni of Sci & Tech,"Hong Kong SAR, China",4,0,0,
E0000000004,The Hong Kong Polytechnic Uni,"Hong Kong SAR, China",0,1,0,
E0000005382,University of Iceland,Iceland,1,0,0,
E0000000286,"University College Cork, Ireland",Ireland,2,0,0,
E0000003657,Interdisciplinary Center Herzliya (IDC),Israel,1,0,0,
E0000000316,Waseda University,Japan,2,0,0,
E0000000318,Tokyo Institute of Technology,Japan,1,0,0,
E0000000319,The University of Tokyo,Japan,1,0,0,
E0000000326,Kyoto University,Japan,1,0,0,
E0000000328,Keio University,Japan,1,0,0,
E0000000544,Korea University,"Korea, Republic of",0,2,2,
E0000000546,Korea Advanced Inst of Sci & Tech,"Korea, Republic of",2,0,0,
E0000000548,Yonsei University,"Korea, Republic of",2,0,0,
E0000000549,Seoul National University,"Korea, Republic of",1,0,0,
E0000000340,Vilnius University,Lithuania,1,0,0,
E0000000416,Utrecht University,Netherlands,2,0,0,
E0000000417,Eindhoven University of Technology,Netherlands,3,0,0,
E0000000420,Delft University of Technology,Netherlands,0,2,3,
E0000000421,University of Amsterdam,Netherlands,2,0,0,
E0000000423,Victoria University of Wellington,New Zealand,1,0,0,
E0000000424,University of Otago,New Zealand,2,0,0,
E0000000443,Norwegian University of Science & Technology,Norway,1,0,0,
E0000002370,University of Oslo,Norway,1,0,0,
E0000003882,Innopolis University,Russian Federation,2,0,0,
E0000000567,Chalmers University of Technology,Sweden,1,0,0,
E0000000569,Uppsala University,Sweden,0,1,1,
E0000000571,KTH Royal Institute of Technology,Sweden,4,0,0,
E0000000572,Lund University,Sweden,0,1,1,
E0000003696,University of Gothenburg,Sweden,3,0,0,
E0000000570,University of Stockholm,Sweden,2,0,0,
E0000000578,ETH Zurich,Switzerland,0,3,3,
E0000001728,Ecole Polytechnique Federale de Lausanne,Switzerland,0,2,2,
E0000000589,National Chiao Tung University,Taiwan,0,2,2,
E0000000591,National Tsing Hua University,Taiwan,0,0,1,
E0000000598,National Taiwan University,Taiwan,0,1,0,
E0000001165,Sabanci University,Turkey,1,0,0,
E0000002064,Bilkent University,Turkey,1,0,0,
E0000001200,King's College London,United Kingdom,6,0,0,
E0000001219,The University of Manchester,United Kingdom,1,0,0,
E0000001240,The University of Nottingham,United Kingdom,1,0,0,
E0000001246,University of Liverpool,United Kingdom,2,0,0,
E0000001258,The University of Edinburgh,United Kingdom,4,0,0,
E0000001270,University of Birmingham,United Kingdom,3,0,0,
E0000002627,University of St Andrews,United Kingdom,2,0,0,
E0000001338,University of Virginia,United States,1,0,0,
E0000001345,The University of Texas at Austin,United States,0,1,1,
E0000001361,University of Southern California,United States,0,1,1,
E0000001364,Purdue University,United States,1,0,0,
E0000001366,University of Pittsburgh,United States,1,0,0,
E0000001411,Georgetown University, Washington D.C.,United States,0,1,1,
E0000001412,Georgia Institute of Technology,United States,1,0,0,
E0000001424,The College of William & Mary,United States,2,0,0,
E0000001427,Case Western Reserve University,United States,0,1,1,
E0000001439,University of California,United States,15 (quarter sytem),0,0,
E0000001446,Boston University,United States,0,1,2,
E0000001449,Arizona State University,United States,0,0,1,
E0000001335,University of Washington, Seattle,United States,3 (quarter sytem),0,0,
E0000001379,Northwestern University,United States,2 (quarter sytem),0,0,
E0000001382,Uni N Carolina at Chapel Hill,United States,0,5,5,
E0000001409,University of Georgia,United States,1,0,0,
